Gender,Age,Department,Department_code,Years_exp,Tenure (months),Gross
1,36,Operations,3,6.0,105,102970
1,44,Engineering,0,8.666666666666666,173,730261
1,42,Other,4,8.0,190,426883
1,29,Other,4,3.666666666666666,10,183340
0,34,Other,4,5.333333333333334,130,148259
0,32,Other,4,4.666666666666666,127,351917
0,34,Tech,7,5.333333333333334,73,231899
0,36,Tech,7,6.0,113,248050
1,29,Tech,7,3.666666666666666,56,152548
0,36,Media,2,6.0,111,187462
0,34,Other,4,5.333333333333334,121,119991
0,30,Tech,7,4.0,57,198623
0,34,Tech,7,5.333333333333334,64,176492
0,30,Operations,3,4.0,21,154337
0,42,Other,4,8.0,87,190276
0,29,Media,2,3.666666666666666,21,153567
0,31,Sales,6,4.333333333333334,65,286147
0,38,Tech,7,6.666666666666666,36,321993
1,28,Finance,1,3.333333333333334,64,112973
1,34,Finance,1,5.333333333333334,96,111504
0,31,Finance,1,4.333333333333334,49,121659
1,33,Tech,7,5.0,47,142609
1,37,Media,2,6.333333333333334,11,279207
1,29,Finance,1,3.666666666666666,63,104470
0,34,Other,4,5.333333333333334,69,240797
0,35,Engineering,0,5.666666666666666,54,250249
0,30,Other,4,4.0,77,112556
0,38,Engineering,0,6.666666666666666,82,304584
0,34,Other,4,5.333333333333334,70,97879
0,34,Operations,3,5.333333333333334,59,125930
0,30,Tech,7,4.0,23,124605
0,29,Media,2,3.666666666666666,12,178533
0,32,Tech,7,4.666666666666666,66,301858
1,30,Tech,7,4.0,35,107452
0,29,Tech,7,3.666666666666666,38,216316
0,37,Other,4,6.333333333333334,92,462384
0,35,Finance,1,5.666666666666666,21,82831
0,33,Media,2,5.0,10,162667
0,30,Tech,7,4.0,57,144295
1,38,Tech,7,6.666666666666666,35,147241
1,29,Other,4,3.666666666666666,23,94937
1,31,Sales,6,4.333333333333334,34,140609
0,32,Finance,1,4.666666666666666,93,138234
0,31,Operations,3,4.333333333333334,38,95440
1,29,Other,4,3.666666666666666,28,87473
1,34,Other,4,5.333333333333334,13,197486
1,35,Other,4,5.666666666666666,36,159366
0,29,Media,2,3.666666666666666,51,154735
0,34,Tech,7,5.333333333333334,47,222235
0,29,Other,4,3.666666666666666,64,185687
1,36,Other,4,6.0,134,300785
0,29,Engineering,0,3.666666666666666,21,183012
0,33,Other,4,5.0,67,132568
1,35,Tech,7,5.666666666666666,32,135454
